Company,Product,Cpu,Ram,Gpu,OpSys,Inches,Price,Cpu_brand,Gpu_brand,HDD,SSD,LogPrice
Dell,G15-5520 2023 Laptop,"12 Cores (4P + 8E), 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,77990,12 Cores,4GB,0,1000,11.26433589
Samsung,Galaxy Book2 NP550XED-KA2IN Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated UHD,Windows 11 OS,15.6,54990,10 Cores,Intel,0,512,10.91490663
Lenovo,IdeaPad 3 15IAU7 82RK00WXIN Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics ,Windows 11 OS,15.6,41190,Hexa Core,Intel,0,256,10.62595079
Asus,ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop,"10 Cores (6P + 4E), 16 Threads",16,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,16,89990,10 Cores,6GB,0,512,11.40745383
Lenovo,Legion 9i 2023 Laptop,"24 Cores (8P + 16E), 32 Threads",32,16GB NVIDIA GeForce RTX 4090,Windows 11 OS,16,399999,24 Cores,16GB,0,1000,12.89921733
Wings,Nuvobook V1 Laptop,"Quad Core, 8 Threads",8,Intel Graphics,Windows 11 OS,15.6,31990,"Quad Core,",Intel,0,512,10.37317863
Dell,Inspiron 3525 Laptop,"Quad Core, 8 Threads",8,AMD Radeon Radeon Graphics,Windows 11 OS,15.6,31490,"Quad Core,",AMD,0,512,10.35742531
HP,Victus 15-fa0555TX  Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,70590,Octa Core,4GB,0,512,11.16464377
Asus,TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop,"14 Cores (6P + 8E), 20 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,15.6,104990,14 Cores,8GB,0,512,11.56162039
Lenovo,V15 82QYA00MIN Laptop,"Dual Core, 2 Threads",8,Intel Integrated Intel UHD Graphics,Windows 11 OS,15.6,23990,"Dual Core,",Intel,0,256,10.08539236
HP,255 G9 7B1L8PA Laptop,"Hexa Core, 12 Threads",8,AMD Radeon Graphics,Windows 11 OS,15.6,37999,"Hexa Core,",AMD,0,512,10.54531512
Honor,MagicBook X14 2023 ‎FRI-F56 Laptop,"Octa Core (4P + 4E), 12 Threads",16,Intel UHD Graphics,Windows 11 OS,14,52990,Octa Core,Intel,0,512,10.8778585
Lenovo,V15 82KDA01BIH Laptop,"Quad Core, 8 Threads",8,AMD Radeon Graphics,Windows 11 OS,15.6,30849,"Quad Core,",AMD,0,512,10.33685961
HP,Victus 15-fa0070TX Laptop,"Octa Core (4P + 4E), 12 Threads",8,4GB NVIDIA GeForce GTX 1650,Windows 11 OS,15.6,58990,Octa Core,4GB,0,512,10.98512322
Zebronics,ZEB-NBC 2S Laptop,"Quad Core, 8 Threads",16,Intel Integrated UHD,Windows 11 OS,15.6,34990,"Quad Core,",Intel,0,512,10.46281759
Lenovo,ThinkBook 15 Gen 5 21JF0026MJ Laptop,"Octa Core, 16 Threads",16,AMD Radeon AMD,Windows 11 OS,16,49990,"Octa Core,",AMD,0,512,10.81957826
HP,15S-FQ5202TU Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,15.6,51780,10 Cores,Intel,0,512,10.85475925
Asus,TUF Gaming F15 FX506HE-HN382W Gaming Laptop,"Octa Core, 16 Threads",16,4GB NVIDIA GeForce RTX 3050 Ti,Windows 11 OS,15.6,68990,"Octa Core,",4GB,0,512,11.14171685
Asus,TUF Gaming F15 FX577ZC-HN192W Gaming Laptop,"14 Cores, 20 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,85990,"14 Cores,",4GB,0,1000,11.36198629
Lenovo,LOQ 15IRH8 82XV00BQIN 2023 Gaming Laptop,"10 Cores (6P + 4E), 16 Threads",16,6GB NVIDIA GeForce RTX 4050,Windows 11 OS,15.6,96990,10 Cores,6GB,0,512,11.48236316
Lenovo,Legion Y9000X 2023 Laptop,"14 Cores (6P + 8E), 20 Threads",32,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,16,148990,14 Cores,8GB,0,1000,11.91163447
Asus,TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop,"12 Cores (4P + 8E), 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,17.3,72990,12 Cores,4GB,0,512,11.19807772
Dell,Inspiron 5430 Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,14,84490,12 Cores,Intel,0,1000,11.34438846
Asus,Vivobook 15 X1502ZA-EJ741WS Laptop,"10 Cores (6P + 4E), 16 Threads",16,Intel Iris Xe,Windows 11 OS,15.6,60990,10 Cores,Intel,0,512,11.0184652
Infinix,INBook X2 Slim Series XL23 Laptop,"Quad Core, 8 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,33990,"Quad Core,",Intel,0,512,10.43382164
Asus,VivoBook 14 X415EA-EK344WS Notebook,"Dual Core, 4 Threads",16,Intel Integrated Intel UHD,Windows 11 OS,14,35990,"Dual Core,",Intel,0,512,10.4909964
Acer,Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce GTX 3050,Windows 11 OS,15.6,60990,Octa Core,4GB,0,512,11.0184652
Xiaomi,Redmi Book 14 2023 Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,14,43990,12 Cores,Intel,0,512,10.69171761
Asus,Vivobook 16X 2023 K3605ZF-MB541WS Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,16,62990,Octa Core,4GB,0,512,11.05073126
MSI,GF63 Thin 11UC-1294IN Gaming Laptop,"Octa Core, 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,65990,"Octa Core,",4GB,0,0,11.09725849
Infinix,INBook Y1 Plus Neo XL30 Laptop,"Quad Core, 4 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,23990,"Quad Core,",Intel,0,512,10.08539236
Asus,TUF Gaming F15 FX506HC-HN362WS Gaming Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,61990,"Hexa Core,",4GB,0,512,11.03472836
Dell,Inspiron 3525 Laptop,"Quad Core, 8 Threads",8,AMD Radeon Radeon Graphics,Windows 11 OS,15.6,36990,"Quad Core,",AMD,0,512,10.51840288
Asus,Vivobook 16X 2022 M1603QA-MB511WS Laptop,"Hexa Core, 12 Threads",16,AMD Radeon Vega 7 Graphics,Windows 11 OS,16,50970,"Hexa Core,",AMD,0,512,10.8389925
Dell,Precision 5550 Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA ,Windows 10 OS,15.6,184999,"Hexa Core,",4GB,0,512,12.1281057
HP,Omen 16-XD0007ax Gaming Laptop,"Octa Core, 16 Threads",16,6GB NVIDIA GeForce RTX 4050,Windows 11 OS,16.1,109990,"Octa Core,",6GB,0,1000,11.60814473
Zebronics,Pro Series Z ZEB-NBC 4S Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated,Windows 11 OS,15.6,42990,10 Cores,Intel,0,512,10.66872281
HP,15s-fq5185TU Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,39150,Hexa Core,Intel,0,512,10.5751557
Acer,Swift Go NXKPZSI002 Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,92999,12 Cores,Intel,0,512,11.44034402
HP,Victus 16-s0095AX Gaming Laptop,"Octa Core, 16 Threads",16,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,16.1,80990,"Octa Core,",6GB,0,512,11.30208097
HP,Victus 15-FB1001AX Gaming Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,55850,"Hexa Core,",4GB,0,512,10.9304248
Acer,Aspire Lite AL15-51 UN.431SI.288 Laptop,"Quad Core, 8 Threads",8,Intel Iris XE Graphics ,Windows 11 OS,15.6,38990,"Quad Core,",Intel,0,512,10.57106048
MSI,Thin GF63 11UCX-1492IN Gaming Laptop,"Hexa Core, 12 Threads",16,GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,53990,"Hexa Core,",GB,0,0,10.89655412
Infinix,INBook X3 Slim XL422 Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,38990,10 Cores,Intel,0,512,10.57106048
HP,Omen 16-xf0060AX Gaming Laptop,"Octa Core, 16 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,16,139234,"Octa Core,",8GB,0,1000,11.84391125
MSI,Thin GF63 11UC-1490IN Gaming Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,57990,"Hexa Core,",4GB,0,0,10.96802586
Lenovo,LOQ 2023 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",8,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,15.6,89999,Octa Core,8GB,0,512,11.40755384
Acer,One 14 Z8-415 ‎2023 Laptop,"Quad Core, 8 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,14,37990,"Quad Core,",Intel,0,512,10.54507825
Asus,VivoBook 14 X415EA-EK326WS Notebook,"Dual Core, 4 Threads",8,Intel Integrated Intel UHD,Windows 11 OS,14,30990,"Dual Core,",Intel,0,512,10.34141985
Dell,G15-5530 GN5530D83M6002ORB1 Gaming Laptop,"10 Cores (6P + 4E), 16 Threads",16,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,92990,10 Cores,6GB,0,512,11.44024724
HP,15s-fr5009TU Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,42990,Hexa Core,Intel,0,512,10.66872281
Asus,TUF Gaming F15 FX506HF-HN025W Gaming Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,59089,"Hexa Core,",4GB,0,512,10.98680006
HP,Victus 15-fa0998TX Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,72999,Octa Core,4GB,0,512,11.19820102
HP,Omen 16-n0123AX Gaming Laptop,"Octa Core, 16 Threads",16,8GB NVIDIA GeForce RTX 3070 Ti ,Windows 11 OS,16.1,126742,"Octa Core,",8GB,0,1000,11.7499088
Apple,MacBook Air 15 2023 Laptop,Octa Core (4P + 4E),8,10-Core GPU,Mac OS,15.3,126990,Octa Core,10-Core,0,256,11.75186362
Samsung,Galaxy Book2 NP550XED-KA1IN 15 Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,49990,10 Cores,Intel,0,512,10.81957826
Dell,Inspiron 5420 Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated UHD,Windows 11 OS,14,74390,12 Cores,Intel,0,512,11.2170768
Dell,Inspiron 3520 D560871WIN9B Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,52990,10 Cores,Intel,0,512,10.8778585
Lenovo,IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop,"Quad Core, 8 Threads",8,4GB NVIDIA GeForce RTX 3050 Graphics,Windows 11 OS,15.6,60990,"Quad Core,",4GB,0,512,11.0184652
HP,Omen 16-n0079AX Gaming Laptop,"Octa Core, 16 Threads",16,8GB AMD Radeon RX 6650M,Windows 11 OS,16.1,98174,"Octa Core,",8GB,0,512,11.49449669
Lenovo,E41-55 Laptop,"Dual Core, 2 Threads",8,AMD Radeon Graphics,Windows 11 OS,14,18990,"Dual Core,",AMD,0,256,9.851667804
Asus,VivoBook 15 X515EA-EJ522WS Laptop,"Quad Core, 8 Threads",8,Intel Integrated Iris Xe,Windows 11 OS,15.6,38990,"Quad Core,",Intel,0,512,10.57106048
HP,14s-fq1092au Laptop,"Hexa Core, 12 Threads",8,AMD Radeon AMD,Windows 11 OS,14,41950,"Hexa Core,",AMD,0,512,10.64423371
Xiaomi,Mi Notebook Ultra Laptop,"Quad Core, 8 Threads",16,Intel Iris Xe Graphics,Windows 10  OS,15.6,46990,"Quad Core,",Intel,0,512,10.75769009
iBall,Excelance CompBook Laptop,Quad Core,2,Intel HD Graphics,Windows 10 OS,11.6,9999,Quad Core,Intel,0,0,9.210240367
Asus,Vivobook 15 X1502ZA-EJ385WS Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,40990,10 Cores,Intel,0,512,10.62108341
Lenovo,IdeaPad Gaming 3 82SB00V5IN Laptop,"Octa Core, 16 Threads",8,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,74990,"Octa Core,",4GB,0,512,11.22511005
Zebronics,ZEB-NBC 3S 2023 Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel Integrated,Windows 11 OS,15.6,33990,Hexa Core,Intel,0,512,10.43382164
Zebronics,Pro Series Z ZEB-NBC 4S 2023 Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Integrated,Windows 11 OS,15.6,39990,10 Cores,Intel,0,512,10.5963847
Asus,CX1101CMA-GJ0004 Chromebook,"Dual Core, 2 Threads",4,Intel UHD Graphics 600,Chrome OS,11.6,10990,"Dual Core,",Intel,0,0,9.304741047
MSI,Katana 15 B13UDXK-1482IN Gaming Laptop,"12 Cores (4P + 8E), 16 Threads",32,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,88990,12 Cores,6GB,0,1000,11.39627928
HP,15s-fy5007TU Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,54990,10 Cores,Intel,0,512,10.91490663
Lenovo,ThinkBook 15 G5 21JFA00BIN Laptop,"Octa Core, 16 Threads",8,AMD Radeon AMD,Windows 11 OS,15.6,49990,"Octa Core,",AMD,0,512,10.81957826
Asus,Vivobook 16 2023 X1605VA-MB947WS Laptop,"14 Cores (6P + 8E), 20 Threads",16,Integrated Intel Iris Xe Graphics,Windows 11 OS,16,80739,14 Cores,Integrated,0,512,11.29897701
Lenovo,Thinkpad E15 G4 21DJA0Y0IN Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,15.6,62990,10 Cores,Intel,0,512,11.05073126
HP,Victus 15-fa1132TX Laptop,"Octa Core (4P + 4E), 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,62990,Octa Core,4GB,0,512,11.05073126
HP,Victus 15-fb1017AX Gaming Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,69501,"Hexa Core,",4GB,0,512,11.14909642
Lenovo,IdeaPad Slim 5 14IAH8 83BF000UIN Laptop,"Octa Core (4P + 4E), 12 Threads",16,Intel UHD Graphics,Windows 11 OS,14,59990,Octa Core,Intel,0,512,11.00193316
HP,Victus 15-fb1015AX Gaming Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,54990,"Hexa Core,",4GB,0,512,10.91490663
Lenovo,LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,64990,Octa Core,4GB,0,512,11.08198869
MSI,Modern 15 B12M-612IN Laptop,"Hexa Core (2P + 4E), 8 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,15.6,37729,Hexa Core,Intel,0,512,10.53818431
Lenovo,IdeaPad Gaming 3 82K2025MIN Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA GeForce GTX 1650,Windows 11 OS,15.6,50712,"Hexa Core,",4GB,0,512,10.83391785
MSI,Modern 14 C11M-029IN Laptop,"Quad Core, 8 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,44990,"Quad Core,",Intel,0,512,10.71419552
Chuwi,CoreBook X Laptop,"Dual Core, 4 Threads",8,Intel UHD Graphics,Windows 11 OS,14,23990,"Dual Core,",Intel,0,512,10.08539236
HP,15s-ey2001AU Laptop,"Octa Core, 16 Threads",16,AMD Radeon Radeon,Windows 11 OS,15.6,49990,"Octa Core,",AMD,0,512,10.81957826
HP,Pavilion 15-eg3079TU Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated Intel Iris Xe Graphics,Windows 11 OS,15.6,72990,12 Cores,Intel,0,512,11.19807772
Lenovo,IdeaPad Slim 3 82H803B6IN Laptop,"Quad Core, 8 Threads",16,Integrated Intel Iris Xe Graphics,Windows 11 OS,15.6,52101,"Quad Core,",Integrated,0,512,10.86093942
Infinix,INBook X2 Slim Series Laptop,"Dual Core, 4 Threads",8,Intel Integrated UHD Graphics,Windows 11 OS,14,28990,"Dual Core,",Intel,0,512,10.27470622
HP,Pavilion 15s-fq5190TU Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Iris Xe,Windows 11 OS,15.6,69490,10 Cores,Intel,0,512,11.14893814
Acer,Aspire 5 A515-58P NX.KHJSI.001 Gaming Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,39965,Hexa Core,Intel,0,512,10.59575935
Acer,Aspire 5 14 A514-56GM 2023 Gaming Laptop,"10 Cores (2P + 8E), 12 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,14,54990,10 Cores,4GB,0,512,10.91490663
Asus,Vivobook 15 X1502ZA-EJ532WS Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Iris Xe,Windows 11 OS,15.6,46999,10 Cores,Intel,0,512,10.7578816
Asus,Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,15.6,83990,12 Cores,Intel,0,512,11.33845302
HP,Victus 15-fb0108AX Gaming Laptop,"Hexa Core, 12 Threads",8,4GB AMD Radeon RX 6500M Graphics,Windows 11 OS,15.6,51499,"Hexa Core,",4GB,0,512,10.84931767
Dell,Vostro 3425 M552321WIN9S Laptop,"Hexa Core, 12 Threads",16,AMD Radeon Graphics,Windows 11 OS,14,50990,"Hexa Core,",AMD,0,512,10.83938481
HP,Chromebook 15a-na0012TU Laptop,"Dual Core, 2 Threads",4,Intel Integrated UHD Graphics,Chrome OS,15.6,23990,"Dual Core,",Intel,0,0,10.08539236
Acer,Aspire 3 A315-24P NX.KDESI.003 Laptop,"Quad Core, 8 Threads",8,AMD Radeon Graphiics,Windows 11 OS,15.6,27990,"Quad Core,",AMD,0,512,10.23960258
HP,Pavilion x360 14-ek1010TU Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,79990,10 Cores,Intel,0,1000,11.28965691
Samsung,Galaxy Book 3 NP750XFG-KA3IN Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,15.6,84390,10 Cores,Intel,0,512,11.34320419
Infinix,INBook Y1 Plus Laptop,"Dual Core, 4 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,24990,"Dual Core,",Intel,0,256,10.12623102
Samsung,Galaxy Book 3 Ultra NP960XFH-XA1IN Laptop,"14 Cores (6P + 8E), 20 Threads",32,NVIDIA GeForce RTX 4070,Windows 11 OS,16,281990,14 Cores,NVIDIA,0,1000,12.54962689
